 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
30.0 	 260.0 	 -300.0     	   -300.0     	    -150.5616
30.0 	 270.0 	 -300.0     	   -300.0     	    -150.5616
30.0 	 280.0 	 -300.0     	   -300.0     	    -150.5616
30.0 	 290.0 	 -300.0     	   -300.0     	    -150.5617
30.0 	 300.0 	 -300.0     	   -300.0     	    -150.5618
30.0 	 310.0 	 -300.0     	   -300.0     	    -150.5618
30.0 	 320.0 	 -300.0     	   -300.0     	    -150.5619
30.0 	 330.0 	 -300.0     	   -300.0     	    -150.562
30.0 	 340.0 	 -300.0     	   -300.0     	    -150.5621
30.0 	 350.0 	 -300.0     	   -300.0     	    -150.5623
30.0 	 360.0 	 -300.0     	   -300.0     	    -150.5624
40.0 	 0.0 	 -300.0     	   -300.0     	    -150.5622
40.0 	 10.0 	 -300.0     	   -300.0     	    -150.5623
40.0 	 20.0 	 -300.0     	   -300.0     	    -150.5624
40.0 	 30.0 	 -300.0     	   -300.0     	    -150.5625
40.0 	 40.0 	 -300.0     	   -300.0     	    -150.5625
40.0 	 50.0 	 -300.0     	   -300.0     	    -150.5626
40.0 	 60.0 	 -300.0     	   -300.0     	    -150.5626
40.0 	 70.0 	 -300.0     	   -300.0     	    -150.5627
40.0 	 80.0 	 -300.0     	   -300.0     	    -150.5627
40.0 	 90.0 	 -300.0     	   -300.0     	    -150.5627
40.0 	 100.0 	 -300.0     	   -300.0     	    -150.5627
40.0 	 110.0 	 -300.0     	   -300.0     	    -150.5626
40.0 	 120.0 	 -300.0     	   -300.0     	    -150.5626
40.0 	 130.0 	 -300.0     	   -300.0     	    -150.5625
40.0 	 140.0 	 -300.0     	   -300.0     	    -150.5624
40.0 	 150.0 	 -300.0     	   -300.0     	    -150.5623
40.0 	 160.0 	 -300.0     	   -300.0     	    -150.5622
40.0 	 170.0 	 -300.0     	   -300.0     	    -150.5622
40.0 	 180.0 	 -300.0     	   -300.0     	    -150.5621
40.0 	 190.0 	 -300.0     	   -300.0     	    -150.562
40.0 	 200.0 	 -300.0     	   -300.0     	    -150.5619
40.0 	 210.0 	 -300.0     	   -300.0     	    -150.5618
40.0 	 220.0 	 -300.0     	   -300.0     	    -150.5617
40.0 	 230.0 	 -300.0     	   -300.0     	    -150.5617
40.0 	 240.0 	 -300.0     	   -300.0     	    -150.5617
40.0 	 250.0 	 -300.0     	   -300.0     	    -150.5616
40.0 	 260.0 	 -300.0     	   -300.0     	    -150.5616
40.0 	 270.0 	 -300.0     	   -300.0     	    -150.5616
40.0 	 280.0 	 -300.0     	   -300.0     	    -150.5616
40.0 	 290.0 	 -300.0     	   -300.0     	    -150.5617
40.0 	 300.0 	 -300.0     	   -300.0     	    -150.5617
40.0 	 310.0 	 -300.0     	   -300.0     	    -150.5618
40.0 	 320.0 	 -300.0     	   -300.0     	    -150.5619
40.0 	 330.0 	 -300.0     	   -300.0     	    -150.5619
40.0 	 340.0 	 -300.0     	   -300.0     	    -150.562
40.0 	 350.0 	 -300.0     	   -300.0     	    -150.5621
40.0 	 360.0 	 -300.0     	   -300.0     	    -150.5622
50.0 	 0.0 	 -300.0     	   -300.0     	    -150.5621
50.0 	 10.0 	 -300.0     	   -300.0     	    -150.5621
50.0 	 20.0 	 -300.0     	   -300.0     	    -150.5622
50.0 	 30.0 	 -300.0     	   -300.0     	    -150.5623
50.0 	 40.0 	 -300.0     	   -300.0     	    -150.5623
50.0 	 50.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 60.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 70.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 80.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 90.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 100.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 110.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 120.0 	 -300.0     	   -300.0     	    -150.5624
50.0 	 130.0 	 -300.0     	   -300.0     	    -150.5623
50.0 	 140.0 	 -300.0     	   -300.0     	    -150.5623
50.0 	 150.0 	 -300.0     	   -300.0     	    -150.5622
50.0 	 160.0 	 -300.0     	   -300.0     	    -150.5621
50.0 	 170.0 	 -300.0     	   -300.0     	    -150.562
50.0 	 180.0 	 -300.0     	   -300.0     	    -150.562
50.0 	 190.0 	 -300.0     	   -300.0     	    -150.5619
50.0 	 200.0 	 -300.0     	   -300.0     	    -150.5618
50.0 	 210.0 	 -300.0     	   -300.0     	    -150.5617
50.0 	 220.0 	 -300.0     	   -300.0     	    -150.5617
50.0 	 230.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 240.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 250.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 260.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 270.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 280.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 290.0 	 -300.0     	   -300.0     	    -150.5616
50.0 	 300.0 	 -300.0     	   -300.0     	    -150.5617
50.0 	 310.0 	 -300.0     	   -300.0     	    -150.5617
50.0 	 320.0 	 -300.0     	   -300.0     	    -150.5618
50.0 	 330.0 	 -300.0     	   -300.0     	    -150.5618
50.0 	 340.0 	 -300.0     	   -300.0     	    -150.5619
50.0 	 350.0 	 -300.0     	   -300.0     	    -150.562
50.0 	 360.0 	 -300.0     	   -300.0     	    -150.5621
